Sample	Replicate	Exp.nbl	Depth	Data	Subsampling	N.nbl.reads	Type	Input.material	Fraction.tp.perc	Fraction.tp	Fraction.ddPCR
5M_mix_Bmap_CLBGA_100_rep1	1	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep2	2	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep2	2	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep2	2	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep2	2	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep2	2	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep2	2	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep2	2	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep2	2	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep2	2	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep2	2	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep2	2	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep2	2	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep2	2	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep2	2	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep2	2	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep3	3	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep3	3	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep3	3	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep3	3	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep3	3	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep3	3	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep3	3	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep3	3	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep3	3	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep3	3	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep3	3	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep3	3	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep3	3	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep3	3	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep3	3	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep4	4	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep4	4	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep4	4	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep4	4	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep4	4	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep4	4	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep4	4	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep4	4	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep4	4	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep4	4	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep4	4	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep4	4	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep4	4	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep4	4	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep4	4	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep5	5	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep5	5	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep5	5	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep5	5	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep5	5	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep5	5	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep5	5	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep5	5	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep5	5	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep5	5	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep5	5	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep5	5	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep5	5	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep5	5	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep5	5	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep6	6	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep6	6	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep6	6	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep6	6	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep6	6	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep6	6	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep6	6	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep6	6	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep6	6	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep6	6	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep6	6	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep6	6	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep6	6	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep6	6	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep6	6	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep7	7	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep7	7	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep7	7	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep7	7	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep7	7	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep7	7	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep7	7	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep7	7	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep7	7	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep7	7	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep7	7	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep7	7	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep7	7	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep7	7	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep7	7	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep8	8	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep8	8	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep8	8	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep8	8	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep8	8	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep8	8	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep8	8	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep8	8	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep8	8	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep8	8	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep8	8	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep8	8	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_25_rep8	8	0.25	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	1250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_50_rep8	8	0.5	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	2500000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_100_rep8	8	1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0_rep9	9	0	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	0	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-01_rep9	9	1e-04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-1_rep9	9	0.001	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-11_rep9	9	0.0011	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	5500	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-3_rep9	9	0.003	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	15000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_0-7_rep9	9	0.007	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	35000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1_rep9	9	0.01	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	50000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_1-8_rep9	9	0.018	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	90000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_2-5_rep9	9	0.025	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	125000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_4_rep9	9	0.04	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	200000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_5_rep9	9	0.05	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	250000	in Silico	NA	NA	NA	NA
5M_mix_Bmap_CLBGA_10_rep9	9	0.1	5000000	in silico samples made with the 0% and 100% tumour in vitro mixtures (CLBGA cell line & cfDNA pool)	Before mapping	500000	in Silico	NA	NA	NA	NA
